lookup_type,age,lookup_value,term_rate
yos,26,40,0.005
yos,26,41,0.005
yos,26,42,0.005
yos,26,43,0.005
yos,26,44,0.005
yos,26,45,0.005
yos,26,46,0.005
yos,26,47,0.005
yos,26,48,0.005
yos,26,49,0.005
yos,26,50,0.005
yos,26,51,0.005
yos,26,52,0.005
yos,26,53,0.005
yos,26,54,0.005
yos,26,55,0.005
yos,26,56,0.005
yos,26,57,0.005
yos,26,58,0.005
yos,26,59,0.005
yos,26,60,0.005
yos,26,61,0.005
yos,26,62,0.005
yos,26,63,0.005
yos,26,64,0.005
yos,26,65,0.005
yos,26,66,0.005
yos,26,67,0.005
yos,26,68,0.005
yos,26,69,0.005
yos,26,70,0.005
yos,27,0,0.265
yos,27,1,0.17
yos,27,2,0.135
yos,27,3,0.115
yos,27,4,0.1
yos,27,5,0.0849999999999999
yos,27,6,0.0825
yos,27,7,0.0775
yos,27,8,0.0574999999999999
yos,27,9,0.05
yos,27,10,0.0424999999999999
yos,27,11,0.0375
yos,27,12,0.0325
yos,27,13,0.0325
yos,27,14,0.0275
yos,27,15,0.0275
yos,27,16,0.025
yos,27,17,0.0225
yos,27,18,0.02
yos,27,19,0.02
yos,27,20,0.0175
yos,27,21,0.0139999999999999
yos,27,22,0.0139999999999999
yos,27,23,0.0115
yos,27,24,0.0115
yos,27,25,0.01
yos,27,26,0.01
yos,27,27,0.009
yos,27,28,0.0065
yos,27,29,0.005
yos,27,30,0.005
yos,27,31,0.005
yos,27,32,0.005
yos,27,33,0.005
yos,27,34,0.005
yos,27,35,0.005
yos,27,36,0.005
yos,27,37,0.005
yos,27,38,0.005
yos,27,39,0.005
yos,27,40,0.005
yos,27,41,0.005
yos,27,42,0.005
yos,27,43,0.005
yos,27,44,0.005
yos,27,45,0.005
yos,27,46,0.005
yos,27,47,0.005
yos,27,48,0.005
yos,27,49,0.005
yos,27,50,0.005
yos,27,51,0.005
yos,27,52,0.005
yos,27,53,0.005
yos,27,54,0.005
yos,27,55,0.005
yos,27,56,0.005
yos,27,57,0.005
yos,27,58,0.005
yos,27,59,0.005
yos,27,60,0.005
yos,27,61,0.005
yos,27,62,0.005
yos,27,63,0.005
yos,27,64,0.005
yos,27,65,0.005
yos,27,66,0.005
yos,27,67,0.005
yos,27,68,0.005
yos,27,69,0.005
yos,27,70,0.005
yos,28,0,0.265
yos,28,1,0.17
yos,28,2,0.135
yos,28,3,0.115
yos,28,4,0.1
yos,28,5,0.0849999999999999
yos,28,6,0.0825
yos,28,7,0.0775
yos,28,8,0.0574999999999999
yos,28,9,0.05
yos,28,10,0.0424999999999999
yos,28,11,0.0375
yos,28,12,0.0325
yos,28,13,0.0325
yos,28,14,0.0275
yos,28,15,0.0275
yos,28,16,0.025
yos,28,17,0.0225
yos,28,18,0.02
yos,28,19,0.02
yos,28,20,0.0175
yos,28,21,0.0139999999999999
yos,28,22,0.0139999999999999
yos,28,23,0.0115
yos,28,24,0.0115
yos,28,25,0.01
yos,28,26,0.01
yos,28,27,0.009
yos,28,28,0.0065
yos,28,29,0.005
yos,28,30,0.005
yos,28,31,0.005
yos,28,32,0.005
yos,28,33,0.005
yos,28,34,0.005
yos,28,35,0.005
yos,28,36,0.005
yos,28,37,0.005
yos,28,38,0.005
yos,28,39,0.005
yos,28,40,0.005
yos,28,41,0.005
yos,28,42,0.005
yos,28,43,0.005
yos,28,44,0.005
yos,28,45,0.005
yos,28,46,0.005
yos,28,47,0.005
yos,28,48,0.005
yos,28,49,0.005
yos,28,50,0.005
yos,28,51,0.005
yos,28,52,0.005
yos,28,53,0.005
yos,28,54,0.005
yos,28,55,0.005
yos,28,56,0.005
yos,28,57,0.005
yos,28,58,0.005
yos,28,59,0.005
yos,28,60,0.005
yos,28,61,0.005
yos,28,62,0.005
yos,28,63,0.005
yos,28,64,0.005
yos,28,65,0.005
yos,28,66,0.005
yos,28,67,0.005
yos,28,68,0.005
yos,28,69,0.005
yos,28,70,0.005
yos,29,0,0.265
yos,29,1,0.17
yos,29,2,0.135
yos,29,3,0.115
yos,29,4,0.1
yos,29,5,0.0849999999999999
yos,29,6,0.0825
yos,29,7,0.0775
yos,29,8,0.0574999999999999
yos,29,9,0.05
yos,29,10,0.0424999999999999
yos,29,11,0.0375
yos,29,12,0.0325
yos,29,13,0.0325
yos,29,14,0.0275
yos,29,15,0.0275
yos,29,16,0.025
yos,29,17,0.0225
yos,29,18,0.02
yos,29,19,0.02
yos,29,20,0.0175
yos,29,21,0.0139999999999999
yos,29,22,0.0139999999999999
yos,29,23,0.0115
yos,29,24,0.0115
yos,29,25,0.01
yos,29,26,0.01
yos,29,27,0.009
yos,29,28,0.0065
yos,29,29,0.005
yos,29,30,0.005
yos,29,31,0.005
yos,29,32,0.005
